epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/Animal,val/AP/Boat/ship,val/AP/Buoy,val/AP/Float,val/AP/Other,val/AP/Paddle board,val/AP/Row boats,val/AP/Swimmer,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,0.00012077770952600986,0.00012077770952600986,7.57532802708738e-07,,,,,,,,,,,,,,,,,,,
0,98,,,,,,,,,,,,,,,,,,,,,,0.314269095659256,0.5014453530311584,0.21022698283195496,0.001681627007201314,0.06341813504695892,0.5155125856399536,0.10376230627298355,0.22515977919101715,0.41657310724258423,0.4053462743759155,0.24393330514431,0.547319233417511,5.761570930480957,0.4019677937030792,0.24193449318408966,0.23761583864688873,0.5480003952980042,0.4507928490638733,0.4126804769039154
0,98,3886.9599609375,3879.508544921875,3880.92578125,3858.970947265625,32.069217681884766,6.993647575378418,0.023890813812613487,0.023793524131178856,0.024312390014529228,0.027575353160500526,0.8906438946723938,0.961492657661438,0.8951923251152039,0.9713044762611389,0.3424829840660095,0.33749136328697205,0.3440026640892029,0.3645992577075958,,,,,,,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,0.00012077770952600986,0.00012077770952600986,7.57532802708738e-07,,,,,,,,,,,,,,,,,,,
1,149,,,,,,,,,,,,,,,,,,,0.00012077770952600986,0.00012077770952600986,7.57532802708738e-07,,,,,,,,,,,,,,,,,,,
1,197,,,,,,,,,,,,,,,,,,,,,,0.3398476243019104,0.5275596380233765,0.24363449215888977,0.0013291740324348211,0.06802760809659958,0.5146983861923218,0.24000975489616394,0.31004688143730164,0.44714659452438354,0.4468197226524353,0.28869807720184326,0.5691996812820435,5.4764180183410645,0.4424107074737549,0.2806442081928253,0.28707218170166016,0.5574524402618408,0.5588755011558533,0.39904871582984924
1,197,3897.18505859375,3896.968505859375,3897.16845703125,3892.3623046875,14.564973831176758,6.225844383239746,0.018831849098205566,0.019157953560352325,0.018940871581435204,0.023560382425785065,0.7810856699943542,0.8328313231468201,0.7872119545936584,0.8309688568115234,0.3162115514278412,0.3187524378299713,0.31772714853286743,0.34295469522476196,,,,,,,,,,,,,,,,,,,,,,
2,199,,,,,,,,,,,,,,,,,,,0.00012077770952600986,0.00012077770952600986,7.57532802708738e-07,,,,,,,,,,,,,,,,,,,
2,249,,,,,,,,,,,,,,,,,,,0.00012077770952600986,0.00012077770952600986,7.57532802708738e-07,,,,,,,,,,,,,,,,,,,
2,296,,,,,,,,,,,,,,,,,,,,,,0.294070303440094,0.525137722492218,0.24959805607795715,0.002082131104543805,0.09779417514801025,0.5422670841217041,0.3539433181285858,0.3722253739833832,0.48051321506500244,0.4727608561515808,0.30715158581733704,0.5972517132759094,5.449349403381348,0.4828742742538452,0.3046397566795349,0.29344865679740906,0.555828332901001,0.6068205833435059,0.4212937355041504
